product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,otif,shipment_delay_days,freight_cost_per_unit,total_cogs,inventory_value,inventory_turnover,inventory_turnover_capped,ccc,supplier_concentration_hhi,transit_time_variance,safety_stock_days,transport_otif_rate,transport_avg_delay
skincare,SKU10,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,1,-11,0.008708043384817885,96141.24337416969,801.0975797775191,120.0119009233183,120.0119009233183,10,0.05081365111241233,2.646986200891954,3.388142337141701,0.7931034482758621,-12.413793103448276
skincare,SKU11,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,1,-22,0.0047124407544965234,26488.66856319715,4169.2311591852795,6.353370094349331,6.353370094349331,13,0.05081365111241233,2.972092416687835,3.804278293360429,0.8461538461538461,-13.153846153846153
haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,Unknown,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,1,-26,0.0039442678874539346,10859.952167710475,7121.338907536008,1.5249874087888384,1.5249874087888384,31,0.05081365111241233,2.812204959107025,3.5996223476569917,0.7931034482758621,-12.413793103448276
skincare,SKU13,16.160393317379977,5,249,4052.738416237866,Male,80,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,0,1,0.03830234161087686,24359.433477433147,1292.831465390398,18.84192497594982,18.84192497594982,7,0.06711712125358041,2.646986200891954,3.388142337141701,0.7931034482758621,-12.413793103448276
skincare,SKU14,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,1,-24,0.00362948432286358,3254.787385983,5355.251746485707,0.6077748610266359,0.6077748610266359,20,0.05081365111241233,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
skincare,SKU15,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,1,-1,0.005164263802292547,45549.88114144145,332.9032043576422,136.8262021668816,136.8262021668816,8,0.06711712125358041,2.585847962779267,3.309885392357462,0.7647058823529411,-5.0588235294117645
skincare,SKU16,7.547172109791272,74,280,6453.797968176285,Female,2,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,1,-4,0.01496901637751965,21589.775899398002,15.094344219582544,1430.322217734286,280.1014772771418,-15,0.06711712125358041,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,1,-8,0.028455706017717002,6007.639726412772,3665.814046615666,1.6388282793446967,1.6388282793446967,10,0.05957290574940114,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
haircare,SKU18,36.443627770460935,23,620,9364.673505076173,Unknown,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,1,-2,0.00699874953888824,16806.94813000323,364.4362777046093,46.1176594049892,46.1176594049892,1,0.05081365111241233,2.972092416687835,3.804278293360429,0.7647058823529411,-5.0588235294117645
skincare,SKU19,51.12387008796474,100,187,2553.495584991215,Unknown,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,1,-8,0.025361689213058165,15403.810949954168,2453.9457642223074,6.277160308323224,6.277160308323224,-2,0.05957290574940114,2.812204959107025,3.5996223476569917,0.7931034482758621,-12.413793103448276
skincare,SKU20,96.34107243996338,22,320,8128.027696851192,Unknown,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,1,-6,0.027744795784146375,21019.60307471636,2601.2089558790112,8.080705330192641,8.080705330192641,12,0.05957290574940114,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,1,-19,0.010046395622659398,37103.173101450724,5857.676959961607,6.334110493811511,6.334110493811511,27,0.05957290574940114,2.646986200891954,3.388142337141701,0.8461538461538461,-13.153846153846153
haircare,SKU22,27.67978088650196,55,884,2390.8078665561734,Unknown,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,0,9,0.0108231322634876,44306.82221787197,1965.2644429416391,22.544967104555568,22.544967104555568,-17,0.05081365111241233,2.812204959107025,3.5996223476569917,0.7857142857142857,-8.321428571428571
cosmetics,SKU23,4.324341185864164,30,391,8858.367571011484,Unknown,84,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,Route A,196.32944611241268,0,2,0.007480454222878655,38556.493281897216,363.24465961258977,106.14469411062713,106.14469411062713,-17,0.05081365111241233,2.646986200891954,3.388142337141701,0.7857142857142857,-8.321428571428571
haircare,SKU24,4.156308359311108,32,209,9049.077860939897,Male,4,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,Route A,758.7247726029383,1,-18,0.046609051144901284,8439.913177911287,16.625233437244432,507.65682237001835,280.1014772771418,31,0.06711712125358041,2.972092416687835,3.804278293360429,0.8461538461538461,-13.153846153846153
haircare,SKU25,39.62934398509263,73,142,2174.777054350654,Male,82,11,52,3,Carrier C,2.231073681281728,Supplier 4,Kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183,Road,Route B,458.535945739209,1,-8,0.01571178648789949,11115.814402814985,3249.6062067775956,3.420665057701792,3.420665057701792,-9,0.05081365111241233,2.812204959107025,3.5996223476569917,0.7931034482758621,-12.413793103448276
haircare,SKU26,97.44694661789282,9,353,3716.493325894037,Male,59,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,Route A,617.8669164583772,1,-12,0.018434981929400993,5638.197104285161,5749.369850455676,0.9806634902498569,0.9806634902498569,16,0.06711712125358041,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
cosmetics,SKU27,92.55736081240202,42,352,2686.457223575984,Unknown,47,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,Route B,762.4591821556837,1,-1,0.0210419061164718,3705.942264654841,4350.195958182895,0.85190237411807,0.85190237411807,13,0.054743293983577745,2.646986200891954,3.388142337141701,0.7647058823529411,-5.0588235294117645
cosmetics,SKU28,2.397274705597141,12,394,6117.324615083992,Female,48,15,24,4,Carrier B,9.898140508069222,Supplier 1,Mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672,Air,Route A,123.43702751182708,1,-11,0.025122184030632544,23415.17643341248,115.06918586866277,203.48780828377463,203.48780828377463,12,0.054743293983577745,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
cosmetics,SKU29,63.44755918520733,3,253,8318.903194617178,Female,45,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,Route B,764.9353759407081,0,2,0.032019656701174036,9941.097523274635,2855.14016333433,3.481824693210537,3.481824693210537,5,0.05081365111241233,2.585847962779267,3.309885392357462,0.7931034482758621,-12.413793103448276
haircare,SKU30,8.022859210526393,10,327,2766.342366866089,Male,60,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,Route C,880.080988247161,1,-19,0.027383878640116256,16884.61014183575,481.3715526315836,35.076044792281984,35.076044792281984,3,0.05081365111241233,2.812204959107025,3.5996223476569917,0.7931034482758621,-12.413793103448276
skincare,SKU31,50.8473930517187,28,168,9655.135102719398,Male,6,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,Route C,609.3792066184267,1,-13,0.015950362886794085,10122.192471148477,305.08435831031215,33.178339680242914,33.178339680242914,13,0.05957290574940114,2.7825989906663056,3.561726708052871,0.7857142857142857,-8.321428571428571
skincare,SKU32,79.20993601565672,43,781,9571.55048732782,Unknown,89,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,Route A,761.1739095148776,1,-9,0.008449558132187687,23189.81684707857,7049.684305393448,3.289483023989729,3.289483023989729,10,0.05081365111241233,2.7825989906663056,3.561726708052871,0.7931034482758621,-12.413793103448276
cosmetics,SKU33,64.7954350001556,63,616,5149.9983504080365,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,Route A,371.255295519871,1,-8,0.007886802765319221,14693.711347944018,259.1817400006224,56.692695048303676,56.692695048303676,3,0.05957290574940114,2.646986200891954,3.388142337141701,0.7647058823529411,-5.0588235294117645
skincare,SKU34,37.46759232984246,96,602,9061.710895507724,Unknown,1,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,Route B,510.3580004335235,1,-19,0.0016935009482095,6474.072234647658,37.46759232984246,172.79125324236918,172.79125324236918,23,0.05957290574940114,2.585847962779267,3.309885392357462,0.7931034482758621,-12.413793103448276
cosmetics,SKU35,84.95778681635043,11,449,6541.329344802465,Female,42,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,Route C,553.4204712303558,1,-19,0.01177770599182051,26044.14938308995,3568.227046286718,7.298904762854942,7.298904762854942,33,0.08069848213703432,2.585847962779267,3.309885392357462,0.7647058823529411,-5.0588235294117645
skincare,SKU36,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,1,-20,0.0021889421258142064,43846.70376038714,176.63404641757293,248.23472399387285,248.23472399387285,7,0.08069848213703432,2.972092416687835,3.804278293360429,0.8461538461538461,-13.153846153846153
skincare,SKU37,23.39984475261435,5,963,2438.339930470029,Female,25,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,0,1,0.0015915423401769789,33072.576198867595,584.9961188153587,56.53469336829264,56.53469336829264,2,0.05081365111241233,2.7825989906663056,3.561726708052871,0.7647058823529411,-5.0588235294117645
cosmetics,SKU38,52.0759306827078,75,705,9692.318040218432,Non-binary,69,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,0,4,0.013100611967729402,4181.139020097464,3593.239217106838,1.1636127648256005,1.1636127648256005,-6,0.054743293983577745,2.646986200891954,3.388142337141701,0.8461538461538461,-13.153846153846153
skincare,SKU39,19.127477265823256,26,176,1912.4656631007608,Female,78,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,Route B,653.6729945520332,1,-26,0.03160513510699082,1585.022107465569,1491.943226734214,1.0623876827639747,1.0623876827639747,26,0.05081365111241233,2.972092416687835,3.804278293360429,0.8461538461538461,-13.153846153846153
skincare,SKU40,80.54142417094033,97,933,5724.959350456265,Female,90,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,Route A,529.8087239806919,1,-12,0.007748762207648954,82271.38682823488,7248.72817538463,11.349768516305197,11.349768516305197,27,0.05081365111241233,2.585847962779267,3.309885392357462,0.7931034482758621,-12.413793103448276
skincare,SKU41,99.11329161531717,35,556,5521.205259010972,Female,64,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.5243711313098,1,-11,0.010383567884472398,53004.62788911751,6343.250663380299,8.35606705487995,8.35606705487995,20,0.05957290574940114,2.812204959107025,3.5996223476569917,0.7647058823529411,-5.0588235294117645
skincare,SKU42,46.52916761451677,98,155,1839.609425856764,Female,22,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,Route A,635.6571205019919,1,-23,0.04855644081839683,14945.537199133641,1023.641687519369,14.600360049180633,14.600360049180633,24,0.06711712125358041,2.646986200891954,3.388142337141701,0.7931034482758621,-12.413793103448276
haircare,SKU43,11.74327177630924,6,598,5737.425599119023,Unknown,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,1,-20,0.006177293090950593,15713.864842484782,422.7577839471326,37.16990068348418,37.16990068348418,15,0.054743293983577745,2.646986200891954,3.388142337141701,0.8461538461538461,-13.153846153846153
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,1,-13,0.00824532062826626,20727.223984595836,667.6252818704351,31.046193946589238,31.046193946589238,7,0.08069848213703432,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
haircare,SKU45,33.78413803306551,1,24,5267.956807510521,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,Route A,495.305697028474,0,-1,0.21729812536299623,1591.5010665597997,3141.9248370750925,0.5065369635135427,0.5065369635135427,-12,0.05957290574940114,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
haircare,SKU46,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,1,-21,0.004739180252717209,66419.90140829334,2491.5630623897787,26.657925063548984,26.657925063548984,14,0.05957290574940114,2.7825989906663056,3.561726708052871,0.7931034482758621,-12.413793103448276
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,1,-6,0.009866759072472496,17938.82354927722,382.8485435237443,46.85618857046703,46.85618857046703,4,0.05081365111241233,2.585847962779267,3.309885392357462,0.7857142857142857,-8.321428571428571
haircare,SKU48,76.03554442689172,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,Supplier 2,Mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,Route B,768.65191395437,1,-13,0.2446839019501772,670.6645438914785,2281.0663328067517,0.2940136085679961,0.2940136085679961,1,0.054743293983577745,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
cosmetics,SKU49,78.89791320564004,19,99,8001.613206519002,Unknown,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,Route A,336.8901685199779,1,-18,0.02530930336263551,1400.6337289539424,7653.097580947084,0.18301527115516167,0.18301527115516167,2,0.08069848213703432,2.646986200891954,3.388142337141701,0.7857142857142857,-8.321428571428571
cosmetics,SKU50,14.203484264803022,91,633,5910.885389668899,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,Route B,496.24865029194046,1,-13,0.009870238412284345,28598.15376629365,440.3080122088937,64.95033697621186,64.95033697621186,12,0.08069848213703432,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
haircare,SKU51,26.70076097246173,61,154,9866.465457979695,Male,100,4,52,1,Carrier A,4.783000557947665,Supplier 5,Bangalore,18,673,28,14.19032834456998,Pending,1.7729511720835571,Road,Route A,694.9823175794459,1,-3,0.031058445181478347,2185.310565063777,2670.076097246173,0.8184450500559266,0.8184450500559266,-23,0.06711712125358041,2.646986200891954,3.388142337141701,0.7931034482758621,-12.413793103448276
skincare,SKU52,98.03182965646508,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,1,-10,0.01052567338996213,7516.816301849664,6274.037098013765,1.1980828586795156,1.1980828586795156,-15,0.054743293983577745,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
skincare,SKU53,30.34147071121421,93,242,8232.334829425821,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,Route B,750.7378406682709,1,-22,0.004187961016925192,20169.262275986068,2912.781188276564,6.924400074116047,6.924400074116047,11,0.08069848213703432,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
haircare,SKU54,31.146243160240854,11,622,6088.021479940859,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,Route B,814.0699965821875,1,-19,0.006921388217504238,18775.7065397616,1027.8260242879483,18.267397493431762,18.267397493431762,-4,0.05081365111241233,2.585847962779267,3.309885392357462,0.7931034482758621,-12.413793103448276
haircare,SKU55,79.85505834078943,16,701,2925.6751703038126,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,1,-6,0.007153159707604718,21256.80522488817,7745.940659056574,2.7442509774503185,2.7442509774503185,11,0.08069848213703432,2.972092416687835,3.804278293360429,0.7647058823529411,-5.0588235294117645
skincare,SKU56,20.986386037043378,90,93,4767.020484344137,Non-binary,25,23,83,5,Carrier C,1.7744297140717396,Supplier 1,Mumbai,24,826,28,12.836284572832753,Pass,1.173755495387454,Air,Route B,832.2108087060217,1,-18,0.019079889398620854,1193.774465273446,524.6596509260844,2.2753311850192732,2.2753311850192732,0,0.054743293983577745,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
haircare,SKU57,49.26320535073416,65,227,1605.8669003924058,Unknown,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,Route A,482.1912386025281,1,-17,0.04035488341577916,15385.974418066739,246.3160267536708,62.46436588331922,62.46436588331922,-6,0.08069848213703432,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
skincare,SKU58,59.84156137728931,81,896,2021.149810337108,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,0,2,0.005511650183830458,58282.483924843546,598.415613772893,97.39465779875616,97.39465779875616,5,0.08069848213703432,2.7825989906663056,3.561726708052871,0.7931034482758621,-12.413793103448276
cosmetics,SKU59,63.828398347710966,30,484,1061.618523013288,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,Route A,312.5742736100933,1,-9,0.015069674786916794,919.9689258634177,6382.839834771096,0.1441316012430398,0.1441316012430398,19,0.05081365111241233,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
skincare,SKU60,17.028027920188702,16,380,8864.084349586436,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,Route A,430.1690969751365,1,-19,0.011529916205532406,33140.96196975156,698.1491447277368,47.46974513973776,47.46974513973776,11,0.054743293983577745,2.812204959107025,3.5996223476569917,0.7857142857142857,-8.321428571428571
haircare,SKU61,52.02874990329492,23,117,6885.589350896253,Unknown,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,Route A,164.36652824341942,1,-16,0.07718239677369187,9208.180094358831,1664.9199969054375,5.530704244933054,5.530704244933054,18,0.05081365111241233,2.812204959107025,3.5996223476569917,0.8461538461538461,-13.153846153846153
cosmetics,SKU62,72.79635395558736,89,270,3899.746833729224,Unknown,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,Route C,320.8465157591116,0,5,0.027006301439913984,5683.133535795534,6260.4864401805135,0.9077782677270151,0.9077782677270151,-5,0.054743293983577745,2.972092416687835,3.804278293360429,0.7647058823529411,-5.0588235294117645
skincare,SKU63,13.017376785287857,55,246,4256.949140850225,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.075003975630484,Pending,3.6328432903821337,Sea,Route A,687.2861778664173,1,-15,0.00999159970726557,4938.450978005099,702.9383464055443,7.025439717804174,7.025439717804174,13,0.06711712125358041,2.7825989906663056,3.561726708052871,0.7647058823529411,-5.0588235294117645
skincare,SKU64,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,1,-21,0.03421905573279591,1164.8676850675565,6543.288979393878,0.17802479589942566,0.17802479589942566,27,0.08069848213703432,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
skincare,SKU65,33.69771720664313,72,457,8354.579686481995,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,Route C,555.8591036717435,1,-16,0.01439943402162931,729.9307935741596,1920.7698807786583,0.3800199080996907,0.3800199080996907,11,0.05081365111241233,2.646986200891954,3.388142337141701,0.7857142857142857,-8.321428571428571
